SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
SUPREMEIND, EQ, 25-Jun-2019, 1043.00, 1049.60, 1061.00, 1037.00, 1052.00, 1052.35, 1047.29, 29525, 309.21, 1992, 21538, 72.95
SUPREMEINF, EQ, 25-Jun-2019, 19.15, 19.00, 20.10, 18.60, 19.95, 19.95, 19.60, 10532, 2.06, 45, 6385, 60.62
SURANASOL, EQ, 25-Jun-2019, 7.05, 6.60, 7.20, 6.60, 7.05, 7.05, 6.99, 12287, 0.86, 49, 10473, 85.24
SURANAT&P, EQ, 25-Jun-2019, 3.75, 3.50, 3.90, 3.50, 3.65, 3.70, 3.79, 13799, 0.52, 27, 11666, 84.54
SURYALAXMI, EQ, 25-Jun-2019, 25.50, 24.90, 25.85, 24.50, 25.00, 25.05, 24.84, 2226, 0.55, 61, 1463, 65.72
SURYAROSNI, EQ, 25-Jun-2019, 234.75, 235.10, 236.50, 231.10, 232.60, 232.75, 233.53, 26216, 61.22, 1910, 11931, 45.51
SUTLEJTEX, EQ, 25-Jun-2019, 30.70, 29.60, 30.80, 29.60, 30.00, 30.05, 30.17, 12150, 3.67, 127, 10010, 82.39
SUVEN, EQ, 25-Jun-2019, 270.90, 270.90, 274.00, 270.30, 272.00, 273.00, 272.16, 64772, 176.28, 1333, 43333, 66.90
SUZLON, EQ, 25-Jun-2019, 4.95, 5.05, 5.30, 4.50, 5.25, 5.20, 5.00, 96131890, 4805.35, 46712, 30010992, 31.22
SWANENERGY, EQ, 25-Jun-2019, 104.45, 103.25, 105.00, 103.25, 104.00, 104.80, 104.23, 183585, 191.35, 1210, 52597, 28.65
SWARAJENG, EQ, 25-Jun-2019, 1398.55, 1409.85, 1409.90, 1373.35, 1392.00, 1387.15, 1387.44, 2923, 40.55, 530, 1418, 48.51
SWELECTES, EQ, 25-Jun-2019, 208.40, 206.40, 211.95, 205.05, 210.00, 210.20, 208.93, 1187, 2.48, 89, 657, 55.35
SYMPHONY, EQ, 25-Jun-2019, 1228.65, 1228.00, 1228.05, 1208.15, 1220.00, 1216.20, 1216.30, 5642, 68.62, 958, 3542, 62.78
SYNCOM, BE, 25-Jun-2019, 1.55, 1.60, 1.60, 1.50, 1.50, 1.50, 1.53, 12119, 0.18, 35, -, -
SYNDIBANK, EQ, 25-Jun-2019, 36.50, 36.45, 38.90, 36.05, 38.70, 38.65, 37.69, 6956640, 2622.26, 11541, 1364256, 19.61
SYNGENE, EQ, 25-Jun-2019, 332.55, 330.00, 331.85, 319.20, 324.15, 325.55, 325.14, 633730, 2060.53, 22039, 557858, 88.03
TAINWALCHM, EQ, 25-Jun-2019, 58.00, 58.05, 59.75, 57.70, 58.00, 58.00, 57.98, 484, 0.28, 13, 482, 99.59
TAJGVK, EQ, 25-Jun-2019, 182.00, 184.35, 188.95, 182.40, 188.00, 187.75, 186.01, 17110, 31.83, 881, 7195, 42.05
TAKE, EQ, 25-Jun-2019, 123.85, 125.80, 125.80, 121.00, 121.50, 121.60, 122.53, 63872, 78.26, 3277, 41171, 64.46
TALBROAUTO, EQ, 25-Jun-2019, 154.95, 155.20, 159.40, 150.20, 152.10, 152.90, 153.83, 5702, 8.77, 313, 3100, 54.37
TALWALKARS, EQ, 25-Jun-2019, 56.05, 54.55, 56.00, 54.00, 54.05, 54.40, 54.87, 62624, 34.36, 763, 35099, 56.05
TALWGYM, EQ, 25-Jun-2019, 104.20, 103.20, 105.00, 102.05, 102.10, 103.65, 103.66, 25575, 26.51, 378, 15523, 60.70
TANLA, EQ, 25-Jun-2019, 70.15, 71.00, 71.00, 66.65, 66.65, 66.65, 67.37, 424510, 285.98, 1445, 287137, 67.64
TANTIACONS, BE, 25-Jun-2019, 2.15, 2.10, 2.25, 2.05, 2.25, 2.25, 2.11, 19358, 0.41, 16, -, -
TARACHAND, SM, 25-Jun-2019, 34.60, 34.00, 38.20, 34.00, 38.20, 38.20, 34.92, 12000, 4.19, 5, 8000, 66.67
TARAJEWELS, BE, 25-Jun-2019, 0.90, 0.85, 0.95, 0.85, 0.85, 0.85, 0.90, 652, 0.01, 7, -, -
