SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
KSHITIJPOL, SM, 18-Jul-2019, 30.80, 24.65, 25.25, 24.65, 25.25, 25.25, 24.95, 8000, 2.00, 2, 8000, 100.00
KSK, EQ, 18-Jul-2019, 0.65, 0.70, 0.70, 0.65, 0.65, 0.65, 0.67, 337628, 2.25, 128, 334818, 99.17
KSL, EQ, 18-Jul-2019, 195.85, 195.05, 198.85, 192.00, 192.00, 192.80, 194.67, 23257, 45.27, 959, 9168, 39.42
KTIL, EQ, 18-Jul-2019, 41.90, 40.70, 42.20, 39.85, 40.75, 39.95, 40.58, 7983, 3.24, 183, 6999, 87.67
KTKBANK, EQ, 18-Jul-2019, 99.40, 99.40, 99.45, 96.40, 96.70, 96.70, 97.71, 1327519, 1297.16, 11982, 813563, 61.28
KWALITY, EQ, 18-Jul-2019, 3.55, 3.55, 3.70, 3.45, 3.50, 3.50, 3.65, 584733, 21.35, 729, 451315, 77.18
L&TFH, EQ, 18-Jul-2019, 122.40, 121.80, 122.25, 116.80, 117.30, 117.20, 118.55, 8598183, 10193.42, 47227, 2232811, 25.97
L&TFINANCE, N4, 18-Jul-2019, 1031.00, 1032.00, 1032.00, 1030.00, 1031.60, 1031.60, 1030.87, 113, 1.16, 5, 65, 57.52
L&TFINANCE, N8, 18-Jul-2019, 1035.00, 1035.00, 1035.00, 1035.00, 1035.00, 1035.00, 1035.00, 50, 0.52, 1, 50, 100.00
L&TFINANCE, NC, 18-Jul-2019, 1055.00, 1046.00, 1050.00, 1046.00, 1046.00, 1047.00, 1047.21, 375, 3.93, 9, 200, 53.33
L&TFINANCE, NE, 18-Jul-2019, 1024.95, 1025.00, 1025.00, 1025.00, 1025.00, 1025.00, 1025.00, 1895, 19.42, 6, 1895, 100.00
L&TFINANCE, NI, 18-Jul-2019, 1040.00, 1038.00, 1038.00, 1035.70, 1036.00, 1036.46, 1036.46, 400, 4.15, 7, 350, 87.50
L&TFINANCE, NO, 18-Jul-2019, 1038.50, 1036.00, 1036.00, 1036.00, 1036.00, 1036.00, 1036.00, 45, 0.47, 2, 45, 100.00
L&TFINANCE, NS, 18-Jul-2019, 1025.00, 1025.00, 1025.00, 1025.00, 1025.00, 1025.00, 1025.00, 56, 0.57, 4, 56, 100.00
